rank,word,count,prob
1,say,16700,0.011077877478675086
2,would,10635,0.007054684250641289
3,one,9805,0.00650410710649157
4,make,9430,0.006255352372688985
5,go,9299,0.006168454052347283
6,come,9175,0.0060861991537032286
7,know,8083,0.005361825368870103
8,good,7649,0.005073933223615912
9,see,7108,0.0047150630609833835
10,shall,6913,0.00458571059940604
11,thou,6794,0.00450677243054602
12,take,6635,0.004401300423413725
13,think,6372,0.004226840436773511
14,like,6281,0.004166475954704085
15,could,6141,0.00407360752075112
16,give,6083,0.00403513345525632
17,well,6061,0.004020539844206568
18,man,5761,0.0038215360571645014
19,upon,5737,0.0038056157542011356
20,must,5498,0.0036470760705242886
21,look,5474,0.0036311557675609233
22,may,5390,0.0035754347071891446
23,time,5148,0.0034149049856418766
24,thy,4908,0.003255701956008223
25,much,4800,0.0031840605926730784
26,tell,4608,0.0030566981689661554
27,never,4561,0.0030255209089962314
28,sir,4555,0.00302154083325539
29,little,4552,0.0030195507953849694
30,great,4544,0.003014244027730514
31,love,4429,0.0029379592426977217
32,let,4346,0.00288290152828275
33,find,4085,0.0027097682335561514
34,u,4002,0.002654710519141179
35,lord,3818,0.0025326548630887112
36,yet,3735,0.0024775971486737393
37,first,3675,0.0024377963912653256
38,king,3578,0.0023734518334550575
39,hand,3559,0.0023608482602757263
40,lady,3458,0.0022938503186382304
41,get,3421,0.0022693065182363753
42,day,3416,0.002265989788452341
43,seem,3401,0.0022560395991002373
44,thee,3386,0.002246089409748134
45,hear,3381,0.0022427726799641
46,might,3353,0.0022241989931735067
47,old,3330,0.002208942036166948
48,though,3311,0.0021963384629876174
49,eye,3309,0.0021950117710740034
50,enter,3270,0.0021691412787585348
51,two,3255,0.0021591910894064315
52,leave,3234,0.002145260824313487
53,thing,3160,0.002096173223509777
54,without,3133,0.0020782628826759905
55,speak,3117,0.0020676493473670804
56,even,2998,0.0019887111785070605
57,young,2987,0.0019814143729821846
58,friend,2969,0.0019694741457596606
59,hath,2903,0.0019256933126104057
60,life,2818,0.0018693089062818199
61,call,2807,0.0018620121007569441
62,long,2764,0.0018334882246142476
63,work,2761,0.001831498186743827
64,every,2744,0.00182022130547811
65,way,2717,0.001802310964644324
66,heart,2585,0.0017147492983458142
67,ever,2548,0.0016902054979439592
68,word,2524,0.001674285194980594
69,poor,2524,0.001674285194980594
70,nothing,2519,0.0016709684651965593
71,men,2505,0.001661681621801263
72,many,2502,0.0016596915839308423
73,turn,2493,0.00165372147031958
74,dear,2492,0.0016530581243627733
75,cry,2475,0.001641781243097056
76,father,2470,0.0016384645133130217
77,away,2469,0.0016378011673562148
78,part,2436,0.0016159107507815874
79,mean,2380,0.0015787633772004015
80,place,2350,0.0015588629984961946
81,keep,2348,0.001557536306582581
82,mr,2333,0.0015475861172304776
83,miss,2314,0.0015349825440511466
84,still,2305,0.0015290124304398846
85,ask,2300,0.00152569570065585
86,put,2273,0.001507785359822064
87,use,2257,0.0014971718245131538
88,last,2212,0.0014673212564568438
89,begin,2157,0.0014308372288324646
90,stand,2152,0.0014275204990484302
91,indeed,2122,0.0014076201203442236
92,god,2111,0.0014003233148193477
93,bring,2092,0.0013877197416400167
94,woman,2089,0.001385729703769596
95,want,2085,0.0013830763199423684
96,head,2084,0.0013824129739855617
97,scene,2068,0.0013717994386766514
98,house,2066,0.0013704727467630377
99,mind,2027,0.0013446022544475688
100,answer,2025,0.001343275562533955
101,another,2015,0.0013366421029658861
102,face,1937,0.0012849011183349486
103,gentleman,1932,0.0012815843885509142
104,till,1922,0.0012749509289828452
105,wish,1904,0.0012630107017603213
106,back,1891,0.0012543872043218316
107,project,1872,0.0012417836311425007
108,name,1870,0.001240456939228887
109,hold,1870,0.001240456939228887
110,saw,1868,0.001239130247315273
111,world,1846,0.0012245366362655214
112,people,1812,0.0012019828737340871
113,night,1810,0.0012006561818204734
114,whose,1800,0.0011940227222524045
115,always,1784,0.0011834091869434942
116,mother,1755,0.0011641721541960943
117,set,1751,0.0011615187703688668
118,chapter,1748,0.0011595287324984462
119,live,1723,0.0011429450835782739
120,believe,1685,0.001117737937219612
121,bear,1684,0.001117074591262805
122,honour,1680,0.0011144212074355776
123,return,1678,0.0011130945155219637
124,fear,1670,0.0011077877478675086
125,room,1668,0.0011064610559538947
126,therefore,1665,0.001104471018083474
127,hope,1627,0.0010792638717248124
128,rather,1622,0.0010759471419407778
129,sit,1619,0.001073957104070357
130,since,1597,0.0010593634930206055
131,jones,1581,0.0010487499577116952
132,thus,1571,0.0010421164981436264
133,show,1553,0.0010301762709211022
134,full,1549,0.0010275228870938748
135,sure,1542,0.0010228794653962265
136,queen,1537,0.001019562735612192
137,something,1537,0.001019562735612192
138,right,1535,0.0010182360436985782
139,present,1515,0.0010049691245624405
140,send,1514,0.0010043057786056336
141,master,1513,0.0010036424326488266
142,true,1504,0.0009976723190375646
143,mine,1498,0.0009936922432967233
144,three,1482,0.000983078707987813
145,year,1476,0.0009790986322469717
146,lay,1468,0.0009737918645925165
147,open,1457,0.0009664950590676407
148,soon,1456,0.0009658317131108338
149,yes,1451,0.0009625149833267994
150,death,1451,0.0009625149833267994
151,meet,1436,0.000952564793974696
152,kind,1426,0.0009459313344066271
153,become,1425,0.0009452679884498202
154,new,1422,0.0009432779505793996
155,help,1419,0.0009412879127089789
156,person,1416,0.0009392978748385582
157,letter,1410,0.0009353177990977168
158,far,1410,0.0009353177990977168
159,artagnan,1407,0.0009333277612272961
160,follow,1395,0.0009253676097456134
161,art,1389,0.0009213875340047721
162,son,1389,0.0009213875340047721
