word,count
search,260
hall,260
peter,259
across,259
recover,259
commit,258
offend,258
convince,258
secure,258
celia,258
shock,257
handsome,257
honor,257
language,256
explain,256
request,256
pursue,256
richard,256
romeo,256
wine,255
top,255
employ,255
breast,255
vain,255
possession,255
sharp,255
weak,255
depart,254
liberty,254
latter,254
stir,253
bound,253
cloud,253
tremble,253
beowulf,253
thyself,253
create,252
apply,252
witness,252
neck,252
everybody,252
prevail,252
gloucester,252
claim,251
bird,251
ala,251
succeed,251
mount,250
difference,250
guilty,250
summer,249
iron,249
introduce,248
unhappy,248
sum,248
suspicion,248
cost,247
bore,247
offence,247
individual,247
utmost,247
traveller,246
conceal,246
success,245
box,245
loud,245
conceive,245
ancient,245
miserable,245
terror,245
design,245
destroy,244
depend,244
lift,243
fetch,243
knock,243
ladyship,243
protect,242
increase,242
blind,242
religion,242
monster,242
embrace,241
tea,241
blame,241
merely,241
bestow,241
hill,240
army,240
possibly,240
sink,240
worship,239
lend,239
calm,239
tale,239
sperm,239
vincy,239
dread,238
river,238
nurse,238
ladislaw,238
roll,237
stubb,237
pleased,236
nation,236
labour,236
pocket,236
double,236
haste,236
issue,236
humour,235
sufficient,235
ashamed,235
resolution,235
fish,235
breathe,234
reflect,234
goodness,234
anger,234
lordship,234
queequeg,234
harm,233
prayer,233
alarm,233
otherwise,233
betray,233
pretend,232
meeting,232
greatly,232
preserve,232
dry,232
actually,231
brow,231
arise,231
credit,231
afford,231
discourse,230
consideration,230
moon,230
merit,230
whence,229
confidence,229
fare,229
mock,228
bone,228
phrase,228
direction,228
mountain,228
bottom,228
dangerous,228
cecil,227
intention,227
bold,227
antony,227
gaze,226
adventure,226
arrival,226
horror,226
influence,226
entreat,226
ebook,225
palace,225
tomorrow,225
insist,224
accompany,224
describe,224
ride,224
judgment,224
melancholy,223
occur,223
tie,223
flesh,223
deck,223
scorn,223
author,222
relate,222
wretch,222
arbuthnot,222
pair,221
misfortune,221
prithee,221
middlemarch,221
frederick,221
bath,220
alive,220
